trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.2, 'e': 0.6849999999999997}",20,0,-138.49850643046295,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
64,False,"{'a': 0.2, 'e': 0.6799999999999997}",35,6,-80.28818532838353,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 1}",1
65,False,"{'a': 0.2, 'e': 0.6749999999999997}",20,12,2.0079845640565566,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.6699999999999997}",20,0,-116.87606944188933,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
67,False,"{'a': 0.2, 'e': 0.6649999999999997}",25,0,-139.88542807668424,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
68,False,"{'a': 0.2, 'e': 0.6599999999999997}",20,7,-4.356346570125002,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.6549999999999997}",20,0,-31.40643620203087,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
70,False,"{'a': 0.2, 'e': 0.6499999999999997}",20,0,-26.18095144484331,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.2, 'e': 0.6449999999999997}",20,0,-85.91826514110126,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.2, 'e': 0.6399999999999997}",35,10,-6.704532014646455,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.6349999999999997}",30,0,-83.35636946827807,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
74,False,"{'a': 0.2, 'e': 0.6299999999999997}",20,8,-38.74262818450398,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.2, 'e': 0.6249999999999997}",20,9,12.159289896494338,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.6199999999999997}",20,0,-110.48466614555156,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
77,False,"{'a': 0.2, 'e': 0.6149999999999997}",20,0,-27.737409976691367,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.2, 'e': 0.6099999999999997}",20,0,-93.23115684437316,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
79,False,"{'a': 0.2, 'e': 0.6049999999999996}",30,0,-163.7208591428048,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
80,False,"{'a': 0.2, 'e': 0.5999999999999996}",25,0,-87.70744902725973,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
81,False,"{'a': 0.2, 'e': 0.5949999999999996}",20,0,-13.204034963141952,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.2, 'e': 0.5899999999999996}",20,0,-100.72012126704502,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
83,False,"{'a': 0.2, 'e': 0.5849999999999996}",25,2,-74.10871541363956,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 1}",1
84,False,"{'a': 0.2, 'e': 0.5799999999999996}",35,0,-30.68672493025921,"{0: 28, 1: 1, 2: 6, 3: 0, 4: 0}",0
85,False,"{'a': 0.2, 'e': 0.5749999999999996}",20,0,-26.757964669359307,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.2, 'e': 0.5699999999999996}",30,15,5.3843088817667715,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.5649999999999996}",20,1,-73.59426950044136,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
88,False,"{'a': 0.2, 'e': 0.5599999999999996}",20,0,-84.34287070520918,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
89,False,"{'a': 0.2, 'e': 0.5549999999999996}",30,22,3.741687406772588,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.5499999999999996}",25,0,-58.13197859549023,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
91,False,"{'a': 0.2, 'e': 0.5449999999999996}",25,0,0.3068585054713642,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
